having_ip_address,url_length,having_at_symbol,prefix_suffix_dash,multi_subdomains,https_token,has_https,shortining_service,count_dots,count_digits,count_special_chars,has_suspicious_words,domain_age,favicon_mismatch,redirects,has_hidden_iframes,has_password_fields,Label
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,7,28,1,1,0,0,1,0,1,1
0,0,0,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,1,0
1,0,0,1,1,0,1,1,7,3,10,1,1,0,1,0,0,1
0,0,0,0,0,0,1,0,2,0,4,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,8,2,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,9,41,3,1,1,0,1,1,0,1
0,0,0,0,0,0,1,0,3,1,4,0,1,0,0,0,0,0
0,0,0,0,1,0,1,1,1,5,3,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,6,4,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,2,3,2,0,1,0,0,0,0,0
0,0,0,1,1,1,0,0,1,24,7,0,1,0,1,0,1,1
0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0
0,1,0,1,1,1,0,0,2,45,14,1,1,1,1,1,0,1
0,0,0,1,0,0,0,1,8,31,1,0,1,0,0,0,0,1
0,0,0,1,1,0,0,0,3,5,8,1,0,0,1,1,1,1
0,0,0,0,0,0,1,0,3,8,3,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,2,18,5,0,1,0,0,0,1,1
0,0,0,0,1,0,1,0,2,3,3,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,8,20,14,0,1,0,1,0,1,1
0,1,0,1,0,0,0,0,4,1,6,0,1,1,0,0,1,1
1,0,1,1,0,0,0,0,9,0,4,0,1,1,0,0,0,1
1,1,0,1,1,0,1,0,4,49,13,0,1,1,0,0,1,1
1,0,0,0,0,1,1,0,2,24,1,1,1,0,1,0,1,1
0,0,0,1,1,0,0,1,6,4,14,0,1,1,1,0,1,1
0,1,0,0,1,0,0,0,5,47,4,1,1,0,1,0,1,1
1,1,0,1,0,0,0,1,3,5,1,1,1,0,1,0,1,1
0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,3,3,2,0,0,0,1,0,0,0
0,1,1,1,1,0,1,0,2,13,12,1,1,1,1,0,1,1
0,1,0,1,1,0,0,1,7,12,14,1,1,0,0,1,1,1
1,1,0,1,1,0,1,1,9,25,8,1,1,0,1,1,1,1
0,0,0,0,0,0,1,0,3,1,4,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,3,6,4,1,1,0,1,0,1,1
0,0,0,1,0,0,1,0,1,7,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,3,6,3,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,9,1,8,1,1,1,0,1,1,1
0,1,1,1,0,0,0,0,4,17,12,0,1,0,1,0,0,1
0,1,0,0,1,0,0,1,3,8,2,0,1,0,0,0,1,1
0,0,0,1,0,0,1,1,5,34,6,1,1,0,0,1,1,1
0,1,0,1,1,0,0,0,2,44,4,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,1,3,4,0,0,0,1,0,0,0
0,1,0,1,0,1,0,0,2,7,10,1,1,1,0,1,0,1
